time,tcp.stream,filePath,resolution
178.0,3.2837,,7.0
179.0,4.37478,,7.0
180.0,10.0061,,7.0
181.0,10.0087,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash55.m4s,7.0
182.0,0.905416,,7.0
183.0,4.69022,,7.0
184.0,10.0066,,7.0
185.0,9.99504,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash56.m4s,7.0
186.0,7.07229,,7.0
187.0,4.33792,,7.0
188.0,9.99451,,7.0
189.0,1.21532,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash57.m4s,7.0
190.0,0.0,,7.0
191.0,3.81658,,7.0
192.0,9.94659,,7.0
193.0,10.0082,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash58.m4s,7.0
194.0,7.72049,,7.0
195.0,4.47221,,7.0
196.0,10.0066,,7.0
197.0,10.0066,,7.0
198.0,0.629368,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash59.m4s,7.0
199.0,2.72597,,7.0
200.0,10.0072,,7.0
201.0,9.9961,,7.0
202.0,0.528096,,7.0
203.0,3.05352,,7.0
204.0,10.0066,,7.0
205.0,3.24576,,7.0
206.0,0.0,,7.0
207.0,3.34421,,7.0
208.0,9.99451,,7.0
209.0,10.0087,,7.0
210.0,9.99715,,7.0
211.0,7.58299,,7.0
212.0,10.0066,,7.0
213.0,10.0198,,7.0
214.0,9.98293,,7.0
215.0,8.71446,,7.0
216.0,10.0077,,7.0
217.0,9.99398,,7.0
218.0,10.0087,,7.0
219.0,8.55049,,7.0
220.0,9.59115,,7.0
221.0,10.0066,,7.0
222.0,2.53253,,7.0
223.0,4.12096,,7.0
224.0,10.0066,,7.0
225.0,9.99504,,7.0
226.0,10.0072,,7.0
227.0,7.60234,,7.0
228.0,10.0066,,7.0
229.0,9.99662,,7.0
230.0,3.98271,,7.0
231.0,4.64178,,7.0
232.0,10.0066,,7.0
233.0,8.38408,,7.0
234.0,0.0,,7.0
235.0,3.97562,,7.0
236.0,10.0066,,7.0
237.0,8.95423,,7.0
238.0,0.0,,7.0
239.0,4.54488,,7.0
240.0,9.9824,,7.0
241.0,10.0066,,7.0
242.0,10.0193,,7.0
243.0,8.24586,,7.0
244.0,9.98293,,7.0
245.0,10.0082,,7.0
246.0,9.99715,,7.0
247.0,8.76244,,7.0
248.0,9.99398,,7.0
249.0,10.0077,,7.0
250.0,0.16268,,7.0
251.0,4.76184,,7.0
252.0,8.0179,,7.0
253.0,0.0,,7.0
254.0,0.0,,7.0
255.0,4.1199,,7.0
256.0,10.0066,,7.0
257.0,9.99662,,7.0
258.0,10.0082,,7.0
259.0,8.81582,,7.0
260.0,10.0093,,7.0
261.0,10.0193,,7.0
262.0,0.45696,,7.0
263.0,3.69546,,7.0
264.0,9.99504,,7.0
265.0,10.0082,,7.0
266.0,0.496144,,7.0
267.0,2.95768,,7.0
268.0,5.54835,,7.0
284.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_180_dashinit.mp4,0.0
285.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_432_dashinit.mp4,3.0
289.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_576_dashinit.mp4,5.0
292.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_720_dashinit.mp4,6.0
294.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dashinit.mp4,7.0
297.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash6.m4s,7.0
298.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash7.m4s,7.0
300.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash8.m4s,7.0
304.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash9.m4s,7.0
308.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash10.m4s,7.0
311.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash11.m4s,7.0
312.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash12.m4s,7.0
314.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash13.m4s,7.0
316.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash14.m4s,7.0
319.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash15.m4s,7.0
323.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash16.m4s,7.0
324.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash17.m4s,7.0
326.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash18.m4s,7.0
329.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash19.m4s,7.0
331.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash20.m4s,7.0
335.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash21.m4s,7.0
341.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash22.m4s,7.0
343.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash23.m4s,7.0
344.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash24.m4s,7.0
347.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash25.m4s,7.0
350.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_720_dashinit.mp4,6.0
354.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_720_dash27.m4s,6.0
358.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dashinit.mp4,7.0
362.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash29.m4s,7.0
366.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash30.m4s,7.0
370.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash31.m4s,7.0
375.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash32.m4s,7.0
379.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash33.m4s,7.0
382.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash34.m4s,7.0
386.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash35.m4s,7.0
390.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash36.m4s,7.0
394.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash37.m4s,7.0
398.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash38.m4s,7.0
402.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash39.m4s,7.0
406.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash40.m4s,7.0
410.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash41.m4s,7.0
414.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash42.m4s,7.0
418.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash43.m4s,7.0
422.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash44.m4s,7.0
426.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash45.m4s,7.0
430.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash46.m4s,7.0
434.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash47.m4s,7.0
438.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash48.m4s,7.0
442.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash49.m4s,7.0
446.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash50.m4s,7.0
450.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash51.m4s,7.0
454.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash52.m4s,7.0
458.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash53.m4s,7.0
462.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash54.m4s,7.0
466.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash55.m4s,7.0
470.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash56.m4s,7.0
474.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash57.m4s,7.0
478.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash58.m4s,7.0
482.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash59.m4s,7.0
486.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash60.m4s,7.0
490.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash61.m4s,7.0
494.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_720_dashinit.mp4,6.0
498.0,5.54835,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dashinit.mp4,7.0
